Category,Billing Opportunity,CPT / HCPCS Code(s),Payer Type,Eligible Population,Trigger / Detection Logic for NP Companion,Est. Revenue per Event,Frequency,Cost-Share Waived?,Modifier,Documentation Requirements,Notes / Gotchas
Counseling & Education,Medical Nutrition Therapy (MNT),"97802, 97803, 97804 (CPT); G0270, G0271 (HCPCS)",Medicare,"Medicare beneficiaries with diabetes, renal disease, or post-kidney transplant (within 36 months); requires physician referral to RD/nutrition professional",Flag Medicare patients with diabetes (E11.x) or CKD (N18.x) without MNT referral; flag post-transplant patients,$50,"3 hours initial year, 2 hours subsequent years",Yes (copay + deductible waived),,"Physician referral required; services by registered dietitian or nutrition professional; 97802 (initial 15 min), 97803 (re-assessment 15 min), 97804 (group); Medicare: G0270/G0271","Office captures the referral and any associated E/M. If the practice employs an RD, direct MNT billing. Otherwise, referral revenue."
Counseling & Education,Diabetes Self-Management Training (DSMT),"G0108, G0109",Medicare,Medicare beneficiaries with diabetes diagnosis + physician/NP order for DSMT,Flag Medicare diabetic patients without DSMT in past 12 months; generate DSMT referral/order prompt,$0,Initial 10 hours + 2 hours/year follow-up,No (copay and deductible apply),,"Physician/NP order required; document diabetes diagnosis and DSMT order; G0108 (individual), G0109 (group, per patient)","Not zero cost-share, but generates revenue if practice has certified diabetes educator (CDE/CDCES) or DSMT program."
Counseling & Education,Intensive Behavioral Therapy for CVD,G0446,Medicare,All Medicare beneficiaries who are competent and alert; provided by PCP in primary care setting,"Flag Medicare patients with CVD risk factors (HTN, hyperlipidemia, obesity, diabetes, smoking); annual counseling prompt",$25,Annual,Yes (copay + deductible waived),,"One face-to-face visit per year; encourage aspirin use (if appropriate), screen for HTN, intensive behavioral counseling for diet/exercise; document counseling time and content",Often overlooked. Can be billed alongside AWV. Document the specific CVD counseling separately from other visit components.
Counseling & Education,Tobacco Cessation Counseling (Medicare-specific),"G0436, G0437 (older); 99406, 99407",Medicare,All Medicare beneficiaries who use tobacco,Flag Medicare patients with tobacco use in social history; prompt cessation counseling documentation,$18,Up to 8 sessions per 12 months,Yes (copay + deductible waived),,"99406 (3-10 min), 99407 (>10 min); 2 quit attempts, 4 sessions each; document tobacco type, counseling time, intervention, plan",Zero cost-share for Medicare. Can be billed at every visit where counseling is provided. Combine with NRT prescriptions.
Counseling & Education,Contraception Counseling,Part of preventive visit (99381-99397),Private,All adolescent and adult women with reproductive capacity,Flag female patients of reproductive age without documented contraception counseling in past year,$0,Annual,Yes (with modifier 33),33,"Women's Preventive Services Initiative recommendation; document contraceptive counseling, method discussion, patient preference; typically part of well-woman visit",Part of the well-woman visit bundle. Ensure documentation specifically addresses contraception to support coding.
Counseling & Education,Breastfeeding Support & Counseling,99401-99404,Private,Pregnant and nursing women,Flag pregnant and postpartum patients; prompt for breastfeeding counseling documentation,$0,As needed during pregnancy and postpartum,Yes (with modifier 33),33,"USPSTF/WPSI recommendation; counseling by trained provider; document counseling content, patient questions, referrals to lactation consultants","Part of ACA preventive benefit. If practice has lactation consultant, direct billing opportunity."
Counseling & Education,Skin Cancer Behavioral Counseling,Part of preventive visit (99383-99397),Private,Fair-skinned persons aged 6 months to 24 years (USPSTF B recommendation),Flag pediatric/young adult patients with fair skin at preventive visits,$0,Per preventive visit,Yes (with modifier 33),33,Counsel on minimizing UV radiation exposure; document counseling provided,Can be documented as part of anticipatory guidance during well-child/well-adult visits. Supports preventive coding compliance.
Counseling & Education,Falls Prevention Counseling (Older Adults),"97110, 97112, 97116, 97530",Private,Community-dwelling adults ≥65 at increased risk for falls (USPSTF B recommendation),"Flag patients ≥65 with fall risk factors (balance issues, polypharmacy, prior falls, vitamin D deficiency)",$35,As needed,Yes (with modifier 33),33,Exercise interventions to prevent falls; PT referral; vitamin D supplementation; document fall risk assessment and intervention plan,"If practice provides PT services, direct billing. Otherwise, referral + documentation of fall risk assessment at the visit."
Care Management Services,,,,,,,,,,,
Care Management Services,Remote Patient Monitoring (RPM),"99453, 99454, 99457, 99458",Medicare / Private,"Medicare patients with acute or chronic conditions requiring remote monitoring (e.g., HTN, CHF, DM, COPD)","Flag patients with HTN, CHF, DM, or COPD who could benefit from home BP monitors, glucose monitors, or weight scales with cellular connectivity",$55,Monthly,Standard cost-sharing,,"99453 (setup, once), 99454 (device supply/data transmission, monthly), 99457 (first 20 min clinical staff time/month reviewing data), 99458 (each additional 20 min); device must transmit data ≥16 days/month",Requires RPM device infrastructure. High ongoing revenue for practices with BP or glucose monitoring programs. 16-day transmission minimum is key compliance requirement.
Care Management Services,Remote Therapeutic Monitoring (RTM),"98975, 98976, 98977, 98980, 98981",Medicare,Medicare patients requiring monitoring of respiratory system or musculoskeletal therapy adherence,"Flag patients with respiratory or MSK conditions using monitoring devices (e.g., smart inhalers, PT exercise tracking)",$50,Monthly,Standard cost-sharing,,"98975 (setup, once), 98976/98977 (device supply, monthly), 98980 (first 20 min treatment management), 98981 (each additional 20 min); ≥16 days data/month",Similar to RPM but for therapeutic monitoring. Can be billed by non-physician providers. Newer codes — verify payer acceptance.
Care Management Services,Annual Depression Screening (Medicare standalone),G0444,Medicare,"All Medicare beneficiaries, annually",Flag all Medicare patients without G0444 in past 12 months; prompt at AWV or any qualifying visit,$18,Annual,Yes (copay + deductible waived),,"PHQ-2 or PHQ-9; document screening tool used, score, and follow-up plan; must have follow-up plan if positive",Standalone Medicare code separate from 96127. Can be billed during AWV. Zero cost-share.
Care Management Services,Glaucoma Screening (Medicare),"G0117, G0118",Medicare,"Medicare beneficiaries at high risk: diabetes, family history of glaucoma, African-Americans ≥50, Hispanic-Americans ≥65","Flag Medicare patients with diabetes, family history of glaucoma, or demographic risk factors; no glaucoma screening in past 12 months",$35,Annual,No (copay and deductible apply),,G0117 (by optometrist/ophthalmologist — referral); G0118 (by physician under direct supervision); dilated eye exam with intraocular pressure measurement,Generates referral to ophthalmology. Office captures the screening order and any associated E/M. Not zero cost-share.
Care Management Services,Screening Pelvic Examination,G0101,Medicare,All female Medicare beneficiaries,Flag female Medicare patients without pelvic exam in past 12 months (or 24 months for low-risk),$30,Annual or biennial,Yes (copay + deductible waived),,Clinical breast exam + pelvic exam; separate from E/M; document breast and pelvic exam findings,Separately billable from E/M when performed during a preventive visit. Often bundled incorrectly.
Care Management Services,Medicare Diabetes Prevention Program (MDPP),G9873-G9891,Medicare,"Medicare Part B beneficiaries with BMI ≥25 (or ≥23 if Asian), pre-diabetes lab values, no prior diabetes diagnosis or ESRD","Flag Medicare patients with pre-diabetes (A1C 5.7-6.4%, FPG 110-125, 2hr GTT 140-199) and BMI ≥25; no diabetes diagnosis",$180,Year-long program (performance-based),Yes (copay + deductible waived),,"CDC-recognized DPP supplier required; multiple session codes based on attendance and weight loss milestones; G9873 (core sessions), G9874-G9891 (various milestone codes)",Performance-based payment — higher reimbursement if patient achieves weight loss targets. Practice must be CDC-recognized DPP supplier or partner with one.
In-Office Procedures,,,,,,,,,,,
In-Office Procedures,EKG/ECG (12-lead),"93000 (global), 93005 (tracing only), 93010 (interpretation only)",Medicare / Private,Part of IPPE (Medicare); patients with cardiac symptoms or risk factors,"Flag patients at IPPE visits; flag patients with new cardiac symptoms, pre-operative evaluation, or medication monitoring (e.g., QTc-prolonging drugs)",$25,As indicated,Yes (when part of IPPE),,"93000 = tracing + interpretation; if only interpreting external tracing, use 93010; document indication, findings, and clinical interpretation",Part of the IPPE benefit for new Medicare patients. Can be billed with modifier 25 + separate E/M if distinct problem is addressed.
In-Office Procedures,Spirometry,"94010 (pre-bronchodilator), 94060 (pre+post)",Medicare / Private,"Patients with respiratory symptoms (cough, dyspnea, wheezing); COPD monitoring; asthma management",Flag patients with COPD or asthma diagnoses without spirometry in past 12 months; flag new respiratory symptom presentations,$35,Annual for COPD/asthma; as indicated for new symptoms,Standard cost-sharing,,"Document indication, pre- and post-bronchodilator values (FEV1, FVC, FEV1/FVC ratio), interpretation; calibration compliance",In-office spirometry equipment required. High-value for practices with significant COPD/asthma population.
In-Office Procedures,Point-of-Care Testing (CLIA-waived),"Various (87880, 87804, 81002, 81025, 82962, 82270, 83655, 85013, 85018, etc.)",Medicare / Private,Patients requiring rapid diagnostic testing at the visit,"Flag visit types where POCT is commonly indicated: URI (strep), UTI, pregnancy, glucose monitoring, influenza, COVID",$12,Per test performed,Standard cost-sharing,,"CLIA Certificate of Waiver required; document test performed, result, clinical decision based on result; common POCT: rapid strep (87880), rapid flu (87804), UA (81002/81003), urine pregnancy (81025), fingerstick glucose (82962)","Requires CLIA waiver. Low cost per test, high volume. Ensure each POCT is documented with indication and result."
In-Office Procedures,Venipuncture / Blood Draw,"36415, 36416",Medicare / Private,Patients requiring blood draw for lab orders,Auto-include when office lab orders are placed and drawn in-office,$3,Per draw,Standard cost-sharing,,"36415 (venipuncture), 36416 (capillary blood collection); document who drew, technique, site",Small per-event revenue but very high volume. Ensure billing captures every in-office draw. Often missed when labs are ordered but draw is not separately billed.
In-Office Procedures,Injection Administration,"96372 (therapeutic/prophylactic), 90471/90472 (immunization)",Medicare / Private,"Patients receiving injections: vaccines, B12, Depo-Provera, steroid injections, etc.",Flag all injection encounters; auto-suggest admin code alongside drug/vaccine code,$25,Per injection,Standard cost-sharing,,"96372 for therapeutic/prophylactic (e.g., B12, Depo, steroid, toradol); 90471 for first vaccine admin, 90472 for each additional; document drug, dose, route, site",Administration code is separate from the drug/vaccine product code. Both must be billed. Common miss: billing the drug but not the admin code.
In-Office Procedures,Nebulizer Treatment,94640,Medicare / Private,"Patients with acute bronchospasm, asthma exacerbation, COPD exacerbation",Flag patients receiving in-office nebulizer treatments; prompt for 94640 billing,$20,Per treatment,Standard cost-sharing,,"Document indication, medication used, pre/post assessment, patient response",Separate from the E/M. Can be billed alongside the office visit with modifier 25 on the E/M if a separately identifiable problem is addressed.
In-Office Procedures,Pulse Oximetry,"94760, 94761",Medicare / Private,"Patients with respiratory complaints, monitoring during procedures",Flag when pulse ox is performed during acute respiratory visits,$8,Per encounter,Standard cost-sharing,,"94760 (single determination), 94761 (multiple determinations/continuous); document indication and results",Often documented but not billed separately. Check if payer bundles with E/M.
Chronic Disease Monitoring,,,,,,,,,,,
Chronic Disease Monitoring,HbA1c (Diabetes Management),83036,Medicare / Private,Patients with diabetes or pre-diabetes,Flag diabetic patients without A1C in past 3-6 months; flag pre-diabetic patients without A1C in past 12 months,$15,Every 3-6 months (diabetes) or annually (pre-diabetes),Standard cost-sharing (except preventive screening),,"Document diagnosis, current A1C, target A1C, management plan adjustments based on result",Preventive screening (no diabetes diagnosis) may be zero cost-share with modifier 33. Monitoring for known diabetes is standard cost-sharing.
Chronic Disease Monitoring,Lipid Panel (Statin Monitoring),80061,Medicare / Private,Patients on statin therapy or with hyperlipidemia,Flag patients on statins without lipid panel in past 12 months; flag hyperlipidemia patients per monitoring schedule,$25,Annual or per management protocol,Standard cost-sharing (monitoring) / Yes (preventive screening),,"Total cholesterol, LDL, HDL, triglycerides; document current therapy, response to treatment, plan adjustments",Preventive screening is zero cost-share. Monitoring for known hyperlipidemia is standard cost-sharing. Code the diagnosis correctly.
Chronic Disease Monitoring,Thyroid Function (TSH),84443,Medicare / Private,Patients on thyroid replacement therapy; patients with thyroid disorders,Flag patients on levothyroxine without TSH in past 6-12 months; flag patients with thyroid disorder diagnosis,$18,Every 6-12 months,Standard cost-sharing,,"Document current thyroid medication and dose, TSH result, dose adjustment if needed",Very common in family practice. Ensure monitoring labs are ordered and billed at appropriate intervals.
Chronic Disease Monitoring,Renal Function Panel / BMP / CMP,"80048, 80053",Medicare / Private,"Patients on metformin, ACE/ARB, diuretics, lithium, or other nephrotoxic medications; CKD patients",Flag patients on medications requiring renal monitoring without BMP/CMP in past 6-12 months,$15,Every 6-12 months,Standard cost-sharing,,Document medication monitoring indication; BMP (80048) or CMP (80053); review and document interpretation,Medication safety monitoring justifies the lab. Document the specific medication requiring monitoring.
Chronic Disease Monitoring,CBC (Complete Blood Count),"85025, 85027",Medicare / Private,"Patients on medications requiring hematologic monitoring (methotrexate, carbamazepine, clozapine, etc.); anemia follow-up",Flag patients on medications requiring CBC monitoring without recent CBC per drug-specific monitoring schedule,$12,Per drug monitoring schedule,Standard cost-sharing,,"Document medication monitoring indication; review differential, hemoglobin, platelet count; document interpretation and plan","Drug monitoring schedule varies: methotrexate (q1-3 months), clozapine (weekly to monthly per registry), etc."
Chronic Disease Monitoring,INR (Warfarin Monitoring),85610,Medicare / Private,Patients on warfarin,Flag patients on warfarin without INR in appropriate interval (weekly to monthly depending on stability),$10,Weekly to monthly,Standard cost-sharing,,"Document current warfarin dose, INR result, target range, dose adjustment; for POCT INR (93792, 93793) if using in-office device","If office has POCT INR device, captures both lab and management codes. High-frequency billing for warfarin patients."
Chronic Disease Monitoring,Hepatic Function Panel,80076,Medicare / Private,"Patients on hepatotoxic medications (statins, methotrexate, anti-epileptics, etc.); liver disease monitoring",Flag patients on hepatotoxic medications without LFTs per monitoring schedule; flag chronic liver disease patients,$18,Per drug monitoring schedule,Standard cost-sharing,,"AST, ALT, alkaline phosphatase, total bilirubin, albumin; document medication monitoring indication and interpretation","Statin monitoring guidelines have relaxed (no longer routine monitoring for all), but still indicated with symptoms or risk factors."
Chronic Disease Monitoring,Urine Albumin/Creatinine Ratio (UACR),"82043, 82570",Medicare / Private,Diabetic patients; CKD patients; hypertensive patients with kidney risk,Flag diabetic patients without UACR in past 12 months; flag CKD patients per staging/monitoring schedule,$12,Annual for diabetes; per CKD staging,Standard cost-sharing,,Urine albumin (82043) + urine creatinine (82570) for ratio; document diabetic nephropathy screening or CKD monitoring indication,ADA recommends annual UACR screening for all diabetic patients. Commonly missed quality metric.
Chronic Disease Monitoring,Vitamin D Level,82306,Medicare / Private,"Patients with osteoporosis, CKD, malabsorption, on vitamin D supplementation; patients at risk for deficiency",Flag patients on vitamin D supplementation without level check; flag osteoporosis/CKD patients; flag patients with falls risk,$40,Annual or per treatment protocol,Standard cost-sharing,,Document indication for testing (not a routine screen per USPSTF); 25-hydroxyvitamin D preferred test,Not a USPSTF-recommended universal screen. Must have clinical indication. Payers may deny without proper diagnosis code.
Telehealth & Communication,,,,,,,,,,,
Telehealth & Communication,Telephone E/M (Established Patient),"99441, 99442, 99443",Medicare / Private,Established patients requiring medical discussion by telephone when visit is not appropriate,Flag phone encounters with clinical decision-making that exceed 5 minutes; prompt for time-based telephone E/M code,$45,Per qualifying phone encounter,Standard cost-sharing,,"99441 (5-10 min), 99442 (11-20 min), 99443 (21-30 min); document time spent, clinical issues discussed, medical decision-making, plan; cannot bill if call results in decision for in-person visit within 24 hours",Often overlooked revenue source. Must be initiated by the patient or guardian. Cannot be billed within 7 days of a related E/M or within 24 hours before a related E/M.
Telehealth & Communication,Online Digital E/M (Patient Portal),"99421, 99422, 99423",Medicare / Private,Established patients communicating through patient portal/secure messaging requiring clinical time,Flag portal messages requiring >5 min cumulative clinical time over 7-day period; prompt for digital E/M billing,$40,Per qualifying 7-day period,Standard cost-sharing,,"99421 (5-10 min over 7 days), 99422 (11-20 min), 99423 (21+ min); cumulative time responding to patient-initiated portal communication over 7 days; document time log",Patient must initiate the communication. Time is cumulative over 7 calendar days. Cannot bill if communication results in a visit within 24 hours.
Telehealth & Communication,Interprofessional Consultation,"99446, 99447, 99448, 99449, 99451, 99452",Medicare / Private,When PCP consults with a specialist by phone/electronic on behalf of a patient,Flag when provider documents specialist consultation discussion; prompt for interprofessional consult code,$40,Per consultation episode,Standard cost-sharing,,"99446-99449 (specialist codes, time-based); 99452 (referring provider, 16-30 min preparation + communication); document reason for consult, specialist communicated with, time spent, outcome",99452 is for the referring PCP who spends ≥16 min preparing and communicating the consultation. Often missed in primary care.
SDOH & Risk Assessment,,,,,,,,,,,
SDOH & Risk Assessment,SDOH Screening / Assessment,"96160, 96161",Medicare / Private,All patients (increasingly recommended); special focus on chronic disease patients,Flag patients without SDOH screening on file; prompt at new patient visits and annually at preventive visits,$8,Annual or as indicated,Varies by payer,,"96160 = patient-focused assessment (e.g., PRAPARE tool); 96161 = caregiver-focused assessment; document tool used, results, interventions/referrals made","Increasingly required for quality measures. Supports Z-code documentation (Z59.x food insecurity, Z59.0 homelessness, etc.) which can support complexity in E/M coding."
SDOH & Risk Assessment,Intimate Partner Violence Screening,"Part of preventive visit (99381-99397, 99401-99404)",Private,Women of reproductive age (USPSTF B recommendation),"Flag female patients of reproductive age at preventive visits; prompt for IPV screening tool (HITS, HARK, STaT)",$0,Annual,Yes (with modifier 33),33,"Validated screening tool; document screening performed, result, referral to support services if positive",Part of ACA preventive benefit. Documentation supports well-woman visit coding. Refer positive screens to local DV resources.
SDOH & Risk Assessment,Health Risk Assessment (HRA),Part of AWV (G0438/G0439),Medicare,All Medicare AWV patients (required component),Auto-include in all AWV encounters; verify HRA is completed prior to or during visit,$0,Annual (with AWV),Yes (bundled),,"Self-reported or provider-administered HRA collecting data on health status, injury risk, modifiable risk factors, urgent health needs; document completion",Required component of AWV — not separately billable but MUST be documented for AWV to be compliant. Pre-visit HRA completion saves time.
Pediatric Add-Ons,,,,,,,,,,,
Pediatric Add-Ons,Well-Child Visit (Bright Futures),"99381-99384 (new), 99391-99394 (est)",Private / Medicaid,"All children per Bright Futures/AAP schedule: newborn, 3-5 days, 1/2/4/6/9/12/15/18/24/30 months, then annually 3-21 years",Flag pediatric patients overdue for well-child visit per Bright Futures schedule; age-based code selection,$150,Per Bright Futures schedule,Yes (with modifier 33),33,"Age-appropriate history, physical exam, developmental surveillance, anticipatory guidance, immunizations, screening labs/instruments per Bright Futures periodicity schedule","Bright Futures periodicity schedule defines the complete package. Each visit is an opportunity for multiple billable add-ons (vaccines, screenings, labs)."
Pediatric Add-Ons,Lead Screening,83655 + 36415/36416,Private / Medicaid,Children at risk: 12 months and 24 months per Bright Futures; Medicaid-enrolled children per state requirements,Flag children at 12 and 24 month well visits without lead screening; flag Medicaid children per state mandate,$10,At 12 and 24 months (or per state mandate),Yes (with modifier 33),33,Blood lead level (83655); capillary vs venous; document risk assessment; Medicaid typically mandates screening regardless of risk,Medicaid often mandates universal lead screening. Private payers cover per risk assessment with modifier 33.
Pediatric Add-Ons,Anemia Screening (Hgb/Hct),"85014, 85018 + 36415/36416",Private / Medicaid,Infants at 12 months per Bright Futures; additional screenings for at-risk children,Flag infants at 12-month well visit without hemoglobin/hematocrit; flag children with anemia risk factors,$8,At 12 months + per risk assessment,Yes (with modifier 33),33,Hemoglobin (85018) or hematocrit (85014); document screening indication per Bright Futures,Part of the 12-month well-child visit bundle. Low cost to perform with capillary sample.
Pediatric Add-Ons,Dyslipidemia Screening,"80061, 82465, 83718-83722, 84478 + 36415/36416",Private,Children once between 9-11 years and once between 17-21 years per Bright Futures; earlier if family history of CVD,Flag children 9-11 without lipid screening; flag adolescents 17-21 without lipid screening; flag children with family history of early CVD,$25,"Once per age window (9-11, 17-21)",Yes (with modifier 33),33,Non-fasting lipid panel acceptable for screening; document family history of early CVD if present,Two screening windows per Bright Futures. Often missed at the 17-21 year window as patients age out of pediatric visits.
Pediatric Add-Ons,Fluoride Varnish Application,99188,Private / Medicaid,All children from primary tooth eruption through age 5 per USPSTF; some states cover through age 6,Flag children with teeth present through age 5 at well visits without fluoride varnish,$25,Per well visit (2-4x/year),Yes (with modifier 33),33,"99188 (application of fluoride varnish by physician/non-dental provider); document teeth present, varnish applied, parental education on oral hygiene",Primary care providers CAN bill this — it's not just for dentists. USPSTF A recommendation. Multiple applications per year. Very easy to perform.
Pediatric Add-Ons,Oral Fluoride Supplementation,Typically pharmacy benefit,Private,Children ≥6 months whose water supply is fluoride-deficient (USPSTF B recommendation),Flag children ≥6 months with water source assessment indicating fluoride deficiency,$0,Ongoing prescription,Yes,,Assess water fluoride level; prescribe oral fluoride supplementation if deficient; document water source assessment,Revenue from the prescribing visit and ongoing medication management. Document water fluoride assessment.
Pediatric Add-Ons,Vision Screening,"99173, 99174, 99177",Private,All children 3-5 years at least once per USPSTF; Bright Futures recommends at multiple ages,Flag children 3-5 without vision screening; flag per Bright Futures periodicity schedule,$10,Per Bright Futures schedule,Yes (with modifier 33),33,"99173 (visual acuity screening), 99174/99177 (instrument-based screening, e.g., photoscreening); document screening method and results","Photoscreening devices (e.g., Spot Vision) can be used in younger children. Separately billable from the well-child visit."
Pediatric Add-Ons,Hearing Screening,"92551, 92552, 92567",Private,"Newborns; children at ages per Bright Futures: 4, 5, 6, 8, 10 years; once between 11-14, 15-17, 18-21",Flag children at Bright Futures hearing screening ages without documented screening,$15,Per Bright Futures schedule,Yes (with modifier 33),33,"92551 (pure tone screening), 92552 (audiometry), 92567 (tympanometry); document screening method and results","If office has audiometer/tympanometer, direct billing. Otherwise, referral to audiology."
Often Overlooked,,,,,,,,,,,
Often Overlooked,Modifier 25 (Separate E/M + Procedure),Modifier 25 on E/M code,Medicare / Private,Any visit where a separately identifiable E/M service is provided on the same day as a procedure or preventive service,Flag visits where both an E/M problem is addressed AND a procedure/preventive service is performed; prompt for modifier 25 documentation,$0,Per qualifying visit,Standard cost-sharing on E/M portion,25,"Document the separate and distinct reason for the E/M beyond the procedure; separate HPI, exam, and MDM for the distinct problem","Most common modifier in primary care. Allows billing E/M + AWV, E/M + procedure, etc. on the same day. Must document a separately identifiable E/M service."
Often Overlooked,After-Hours / Weekend / Holiday Premium,"99050, 99051, 99053, 99056, 99060",Medicare / Private,"Patients seen during extended hours, weekends, or holidays",Flag encounters occurring outside regular office hours; prompt for appropriate after-hours code,$30,Per qualifying encounter,Standard cost-sharing,,"99050 (after-hours, same provider, no emergency), 99051 (evening/weekend), 99053 (between 10pm-8am); document time of service","Revenue that many practices leave on the table. If the practice offers Saturday or evening hours, these are billable add-ons to the E/M."
Often Overlooked,Care Plan Oversight,"99339, 99340",Medicare,"Medicare patients in home health, hospice, or under home care plan; requires 15+ min/month of physician/NP oversight",Flag patients receiving home health services or in hospice with ongoing care coordination by the practice,$75,Monthly,Standard cost-sharing,,"99339 (15-29 min/month), 99340 (30+ min/month); document time spent reviewing reports, communicating with home health, updating care plans",Cannot bill same month as CCM for same patient. Different from TCM. For patients with active home health orders.
Often Overlooked,Chronic Pain Management (non-procedure),99490 (via CCM) or separate E/M,Medicare / Private,Patients with chronic pain requiring ongoing management,"Flag patients with chronic pain diagnoses and opioid prescriptions; prompt for PDMP check documentation, pain agreement review, and appropriate E/M level",$0,Per visit,Standard cost-sharing,,"Document pain assessment (location, severity, function), PDMP check, treatment plan, risk assessment, informed consent for controlled substances","Not a separate billing code per se, but proper documentation supports higher-level E/M coding and CCM eligibility. Also supports quality measure compliance."
Often Overlooked,PrEP (Pre-Exposure Prophylaxis) Management,E/M + lab monitoring codes,Medicare / Private,HIV-negative patients at high risk for HIV through sex or injection drug use (USPSTF A recommendation),Flag patients with documented HIV risk factors; flag patients on PrEP medications for monitoring compliance,$0,Quarterly (monitoring visits),Yes (screening labs with modifier 33),33 (on labs),"Initial risk assessment, HIV test, renal function, pregnancy test, STI screening; quarterly follow-up: HIV test, adherence, renal function, pregnancy test, STI screening",The screening and monitoring labs are zero cost-share under ACA preventive benefit. The E/M visits generate ongoing revenue. Growing patient population.
Often Overlooked,Preeclampsia Prevention (Low-dose Aspirin),Typically pharmacy benefit,Private,Pregnant women at high risk for preeclampsia (USPSTF B recommendation),"Flag pregnant patients with preeclampsia risk factors (history of preeclampsia, multifetal gestation, chronic HTN, diabetes, renal disease, autoimmune disease, nulliparity, age ≥35, BMI ≥30)",$0,Per pregnancy,Yes,,Low-dose aspirin (81mg/day) after 12 weeks gestation; document risk factor assessment and aspirin recommendation,"No direct billing code, but documentation supports OB management coding and risk assessment. ACA preventive benefit covers the aspirin."
Often Overlooked,Folic Acid Supplementation Counseling,Typically pharmacy benefit,Private,All women of reproductive age who are planning or capable of pregnancy (USPSTF A recommendation),Flag female patients of reproductive age; prompt for folic acid counseling documentation,$0,Ongoing,Yes,,Counsel on 0.4-0.8mg daily folic acid supplementation; document counseling and recommendation,Supports preventive visit documentation and quality measure compliance. ACA covers the supplement.
Often Overlooked,Statin Preventive Medication Counseling,Typically pharmacy benefit,Private,Adults 40-75 with ≥1 CVD risk factor and ≥10% 10-year ASCVD risk (USPSTF B recommendation),Flag patients 40-75 with 10-year ASCVD risk ≥10% (calculate from lipid panel + risk factors); not currently on statin,$0,Per assessment,Yes (statin itself),,Calculate 10-year ASCVD risk; document risk discussion and shared decision-making; prescribe moderate-dose statin if appropriate,The statin medication is zero cost-share under ACA preventive benefit when prescribed per USPSTF indication. Document the risk calculation.
Often Overlooked,Gestational Diabetes Screening,"82947, 82948, 82950, 82951, 82952",Private,Asymptomatic pregnant women after 24 weeks gestation (USPSTF B recommendation),Flag pregnant patients at 24-28 weeks without glucose challenge test/GTT on file,$20,Per pregnancy (24-28 weeks),Yes (with modifier 33),33,Glucose challenge test or glucose tolerance test; document gestational age and screening indication,Standard of prenatal care but important to code correctly with modifier 33 for zero cost-sharing under ACA preventive benefit.
Often Overlooked,Perinatal Depression Screening & Counseling,96161,Private,Pregnant and postpartum persons at increased risk of perinatal depression (USPSTF B recommendation),Flag pregnant patients and patients within 12 months postpartum for perinatal depression risk assessment and counseling referral,$10,During pregnancy and postpartum,Yes (with modifier 33),33,"Document risk assessment, counseling intervention or referral; 96161 (caregiver/patient-focused health risk assessment)",Newer USPSTF recommendation. Covers counseling interventions to prevent perinatal depression in those at increased risk.
Often Overlooked,Bacteriuria Screening (Pregnant Women),"87081, 87084, 87086, 87088",Private,Pregnant women at 12-16 weeks gestation or first prenatal visit (USPSTF A recommendation),Flag pregnant patients at first prenatal visit or 12-16 weeks without urine culture on file,$20,Per pregnancy,Yes (with modifier 33),33,Urine culture (not just dipstick UA); document gestational age and screening indication,"USPSTF A recommendation. Must be a urine CULTURE, not just UA. Often missed or incorrect test ordered."